AAPL     vwap_rev_fw  S=-7.47 DD=-99.6%  -> UPGRADE flag_fw e=30: S4y=+2.69 DD4y=-10.8% S2y=+2.21 n=131
AMD      flag_fw      S=+7.01 DD=-14.0%  (best alt orb_fw e=10: S4y=+5.60 DD4y=-19.6% — below bar)
AMZN     flag_fw      S=+2.91 DD=-8.7%  (no alt above bar)
BAC      flag_fw      S=+6.52 DD=-7.3%  (best alt heikin_fw e=10: S4y=-0.86 DD4y=-21.8% — below bar)
BTC/USD  flag_fw      S=+1.62 DD=-11.4%  (no alt above bar)
CAT      flag_fw      S=+8.81 DD=-10.1%  (best alt orb_fw e=10: S4y=+3.49 DD4y=-11.6% — below bar)
COP      flag_fw      S=+5.91 DD=-10.1%  (no alt above bar)
ETH/USD  flag_fw      S=+0.92 DD=-19.6%  (no alt above bar)
GLD      orb_fw       S=+4.19 DD=-16.7%  (best alt flag_fw e=30: S4y=+2.65 DD4y=-12.0% — below bar)
GOOGL    orb_fw       S=+5.38 DD=-8.7%  (best alt flag_fw e=30: S4y=+5.03 DD4y=-10.1% — below bar)
JNJ      flag_fw      S=+4.90 DD=-10.3%  (no alt above bar)
KO       flag_fw      S=+3.72 DD=-10.7%  (no alt above bar)
META     flag_fw      S=+2.87 DD=-15.9%  (no alt above bar)
MSFT     flag_fw      S=+6.78 DD=-7.5%  (no alt above bar)
NFLX     flag_fw      S=+3.24 DD=-12.8%  (no alt above bar)
NVDA     flag_fw      S=+3.79 DD=-13.1%  (no alt above bar)
QQQ      flag_fw      S=+2.38 DD=-14.5%  (no alt above bar)
SLV      flag_fw      S=+5.66 DD=-10.3%  (best alt heikin_fw e=10: S4y=+1.46 DD4y=-20.7% — below bar)
TSLA     orb_fw       S=+3.44 DD=-5.9%  (best alt flag_fw e=30: S4y=+2.89 DD4y=-14.2% — below bar)
